项目明细统计表-项目明细统计表,项目明细统计表-项目明细统计表.1,项目明细统计表-项目明细统计表.2,项目明细统计表-项目明细统计表.3,项目明细统计表-项目明细统计表.4,项目明细统计表-项目明细统计表.5,项目明细统计表-项目明细统计表.6,项目明细统计表-项目明细统计表.7,项目明细统计表-项目明细统计表.8,项目明细统计表-项目明细统计表.9,项目明细统计表-项目明细统计表-5%-提点,项目明细统计表-项目明细统计表.10,项目明细统计表-项目明细统计表.11,项目明细统计表-项目明细统计表.12,项目明细统计表-项目明细统计表.13,项目明细统计表-项目明细统计表.14
序号,项目编号,项目名称,项目号,业务员,项目金额,"项目签订
日期",项目要求,"拟完成
日期","业务员
可得提成","提点发放
形式",人事核对,备注,,"业务员
姓名",项目数量
1,1,XM1,0801B0001,李笑笑,90320,2021/7/10,无,日期,4516,支付宝,已核对,,,李笑笑,2
2,2,XM2,0801B0002,王霞,39404,2021/7/11,无,日期,1970.2,支付宝,已核对,,,王霞,2
3,3,XM3,0801B0003,张国武,84803,2021/7/12,无,日期,4240.15,支付宝,已核对,,,张国武,4
4,4,XM4,0801B0004,李红,284943,2021/7/13,无,日期,14247.15,支付宝,已核对,,,李红,3
5,5,XM5,0801B0005,李琳,394023,2021/7/14,无,日期,19701.15,支付宝,已核对,,,李琳,2
6,6,XM6,0801B0006,张国武,940434,2021/7/15,无,日期,47021.7,支付宝,已核对,,,王浩,1
7,7,XM7,0801B0007,李红,48924,2021/7/16,无,日期,2446.2,支付宝,已核对,,,李三,1
8,8,XM8,0801B0008,王霞,294044,2021/7/17,无,日期,14702.2,支付宝,已核对,,,阳兰,1
9,9,XM9,0801B0009,张国武,384933,2021/7/18,无,日期,19246.65,支付宝,已核对,,,任杰,1
10,10,XM10,0801B0010,李红,494043,2021/7/19,无,日期,24702.15,支付宝,已核对,,,盖丽丽,1
11,11,XM11,0801B0011,李笑笑,49024,2021/7/20,无,日期,2451.2,支付宝,已核对,,,吴珉豪,1
12,12,XM12,0801B0012,李琳,40344,2021/7/21,无,日期,2017.2,支付宝,已核对,,,王翔,1
13,13,XM13,0801B0013,王浩,89404,2021/7/22,无,日期,4470.2,支付宝,已核对,,,,
14,14,XM14,0801B0014,李三,30444,2021/7/23,无,日期,1522.2,支付宝,已核对,,,,
15,15,XM15,0801B0015,阳兰,294044,2021/7/24,无,日期,14702.2,支付宝,已核对,,,本页项目总额统计,本页项目总额统计
16,16,XM16,0801B0016,任杰,394044,2021/7/25,无,日期,19702.2,支付宝,已核对,,,5641394,5641394
17,17,XM17,0801B0017,盖丽丽,494043,2021/7/26,无,日期,24702.15,支付宝,已核对,,,5641394,5641394
18,18,XM18,0801B0018,张国武,490033,2021/7/27,无,日期,24501.65,支付宝,已核对,,,5641394,5641394
19,19,XM19,0801B0019,吴珉豪,403940,2021/7/28,无,日期,20197,支付宝,已核对,,,5641394,5641394
20,20,XM20,0801B0020,王翔,300203,2021/7/29,无,日期,15010.15,支付宝,已核对,,,5641394,5641394
