借款详情登记表,借款详情登记表.1,借款详情登记表.2,借款详情登记表.3,借款详情登记表.4,借款详情登记表.5,借款详情登记表.6,借款详情登记表.7,借款详情登记表.8,借款详情登记表.9,借款详情登记表.10,借款详情登记表.11,借款详情登记表.12
,,,,,,,,,,,,
鲁铮,"￥15,659.84","￥15,659.84",,菲尼克斯,"￥12,157.60","￥12,157.60",,贝尔原生态,"￥20,653.92","￥20,653.92",,
,,,,,,,,,,,,
客户名称,联系人,所属行业,借款项目,借款项目,借款项目,借款项目,借款项目,借款项目,借款项目,借款项目,借款分级,备注
客户名称,联系人,所属行业,借款额,借款日期,借款期限,月息,利息,总额,担保人,借款理由,借款分级,备注
贝尔原生态,联系人1,原生态,"￥9,900.00",2019/4/1,12个月,1%,"￥1,188.00","￥11,088.00",王丽丽,,A级,
鲁铮,联系人2,产业,"￥8,641.00",2019/4/2,12个月,1%,"￥1,036.92","￥9,677.92",王丽丽,,A级,
菲尼克斯,联系人3,直销,"￥2,314.00",2019/4/3,12个月,1%,￥277.68,"￥2,591.68",王丽丽,,A级,
甘南专卖,联系人4,线上,"￥4,521.00",2019/4/4,12个月,1%,￥542.52,"￥5,063.52",王丽丽,,A级,
贝尔原生态,联系人5,原生态,"￥8,541.00",2019/4/5,12个月,1%,"￥1,024.92","￥9,565.92",王丽丽,,A级,
鲁铮,联系人6,产业,"￥5,341.00",2019/4/6,12个月,1%,￥640.92,"￥5,981.92",王丽丽,,A级,
菲尼克斯,联系人7,直销,"￥8,541.00",2019/4/7,12个月,1%,"￥1,024.92","￥9,565.92",王丽丽,,A级,
