学生报名登记表-学生报名登记表-信息查询,学生报名登记表-学生报名登记表-学号,学生报名登记表-学生报名登记表-55-班级总人数-姓名,学生报名登记表-学生报名登记表-6-已报名登记人数-身份证号,学生报名登记表-学生报名登记表-10.91%-登记完成率-性别,学生报名登记表-学生报名登记表-10.91%-登记完成率-年龄,学生报名登记表-学生报名登记表-户口类型,学生报名登记表-学生报名登记表-民族,学生报名登记表-学生报名登记表-籍贯,学生报名登记表-学生报名登记表-健康状况,学生报名登记表-学生报名登记表-体温℃,学生报名登记表-学生报名登记表-户口所在地,学生报名登记表-学生报名登记表-家庭地址,学生报名登记表-学生报名登记表-原毕业院校,学生报名登记表-学生报名登记表-是否本地生源,学生报名登记表-学生报名登记表-就读方式,学生报名登记表-学生报名登记表-联系电话,学生报名登记表-学生报名登记表-是否需要乘坐校车,学生报名登记表-学生报名登记表-是否需要住校,学生报名登记表-学生报名登记表-班主任,学生报名登记表-学生报名登记表-备注
"信息
查询",202001,张小米,620403200303191892,男,21,城镇,汉,甘,健康,36.5℃,甘肃,x省x市x区,xx学校,是,走读生,1234560000,是,否,李三1,无
,,,,,,,,,,,,,,,,,,,,
学校名称：,学校名称：,,,,院系：,,,,,,班级：,,,,班主任：,,,联系方式：,,
序号,学号,姓名,身份证号,性别,年龄,"户口
类型",民族,籍贯,"健康
状况","体温
℃","户口
所在地",家庭地址,"原毕业
院校","是否本地
生源","就读
方式",联系电话,"是否需要
乘坐校车","是否需要
住校",班主任,备注
1,202001,张小米,620403200303191892,男,21,城镇,汉,甘,健康,36.5℃,甘肃,x省x市x区,xx学校,是,走读生,1234560000,是,否,李三1,无
2,202002,杨乐乐,620403200509192822,女,19,农村,汉,甘,健康,36.1℃,甘肃,x省x市x区,xx学校,是,走读生,1234560001,是,否,李三2,
3,202003,周啦啦,620403200809093892,男,16,城镇,汉,甘,健康,36.3℃,甘肃,x省x市x区,xx学校,是,寄宿生,1234560002,否,否,李三3,
4,202004,王浩浩,620403200211192811,男,22,农村,汉,甘,健康,36.1℃,甘肃,x省x市x区,xx学校,是,走读生,1234560003,是,否,李三4,
5,202005,李蒙,620403200409128333,男,20,城镇,汉,甘,健康,36.2℃,甘肃,x省x市x区,xx学校,是,走读生,1234560004,否,否,李三5,
6,202006,陆小凤,320403200408027882,女,20,农村,汉,苏,健康,37.2℃,江苏,x省x市x区,xx学校,否,寄宿生,1234560005,否,是,李三6,
12,,,,,,,,,,℃,,,,,,,,,,
13,,,,,,,,,,℃,,,,,,,,,,
