项目统计表-项目统计表,项目统计表-项目统计表-项目名称:,项目统计表-项目统计表.1,项目统计表-项目统计表.2,项目统计表-项目统计表.3,项目统计表-项目统计表-客户数:,项目统计表-项目统计表-7,项目统计表-项目统计表.4,项目统计表-项目统计表.5,项目统计表-项目统计表.6,项目统计表-项目统计表.7,项目统计表-项目统计表.8,项目统计表-项目统计表.9,Unnamed: 13,Unnamed: 14,Unnamed: 15
序号,合同编号,客户名称,客户单位,联系方式,项目名称,数量,项目开始时间,预计结束时间,拟需要时长,状态,统计人,备注,,"快速查询
(输入或选择合同编号)","快速查询
(输入或选择合同编号)"
1,DH1029331,稻壳1,中航,180xxxx1021,机器人台车,10套,2021/10/3,2021/12/12,70,已完成,张晓梅,,,"快速查询
(输入或选择合同编号)","快速查询
(输入或选择合同编号)"
2,DH1029332,稻壳2,程维,180xxxx1022,医疗台车,20套,2021/9/12,2021/12/5,84,已完成,张晓梅,,,DH1029332,DH1029332
3,DH1029333,稻壳3,八百九,180xxxx1023,手柄,200套,2021/7/23,2021/11/19,119,已完成,张晓梅,,,,
4,DH1029334,稻壳4,武将达成,180xxxx1024,便携机,150套,2021/8/23,2021/12/19,118,已完成,张晓梅,,,查找客户联系方式,查找客户联系方式
5,DH1029335,稻壳5,笑脸,180xxxx1025,运输机器人,230套,2021/9/28,2021/12/28,91,进行中,张晓梅,,,客户名称,联系方式
6,DH1029336,稻壳6,东南车床厂,180xxxx1026,迎宾机器人,35套,2021/9/29,2021/12/29,91,进行中,张晓梅,,,稻壳1,180xxxx1021
7,DH1029337,稻壳7,河南改装一号,180xxxx1027,整车手板,50套,2021/11/10,2021/12/24,44,进行中,张晓梅,,,稻壳2,180xxxx1022
,,,,,,,,,0,,,,,稻壳3,180xxxx1023
,,,,,,,,,0,,,,,稻壳4,180xxxx1024
,,,,,,,,,0,,,,,稻壳5,180xxxx1025
,,,,,,,,,0,,,,,稻壳6,180xxxx1026
,,,,,,,,,0,,,,,稻壳7,180xxxx1027
,,,,,,,,,0,,,,,,
,,,,,,,,,0,,,,,,
,,,,,,,,,0,,,,,,
