客户信息跟进统计表-客户信息跟进统计表-单位名称：-序号,客户信息跟进统计表-客户信息跟进统计表-单位名称：-登记日期,客户信息跟进统计表-客户信息跟进统计表-客户名称,客户信息跟进统计表-客户信息跟进统计表-客户地址,客户信息跟进统计表-客户信息跟进统计表-客户地址.1,客户信息跟进统计表-客户信息跟进统计表-登记客户数：-联系电话,客户信息跟进统计表-客户信息跟进统计表-登记客户数：-联系电话.1,客户信息跟进统计表-客户信息跟进统计表-10-客户类别,客户信息跟进统计表-客户信息跟进统计表-新客户数：-客户类别,客户信息跟进统计表-客户信息跟进统计表-新客户数：-客户意向,客户信息跟进统计表-客户信息跟进统计表-7-客户意向,客户信息跟进统计表-客户信息跟进统计表-老客户数：-客户预算金额,客户信息跟进统计表-客户信息跟进统计表-老客户数：-跟踪记录,客户信息跟进统计表-客户信息跟进统计表-2-跟踪记录,客户信息跟进统计表-客户信息跟进统计表-客户跟进统计,客户信息跟进统计表-客户信息跟进统计表-客户跟进统计.1,客户信息跟进统计表-客户信息跟进统计表-3-已成交-客户跟进统计,客户信息跟进统计表-客户信息跟进统计表-6-跟进中-跟进人,客户信息跟进统计表-客户信息跟进统计表-1-已放弃-备注
序号,登记日期,客户名称,客户地址,客户地址,联系电话,联系电话,新,老,客户意向,客户意向,"客户预算
金额",跟踪记录,跟踪记录,已成交,跟进中,已放弃,跟进人,备注
1,年 月 日,客户1,xx地址1,xx地址1,138xxxx0000,138xxxx0000,√,,xxx意向1,xxx意向1,10W+,xxxx记录1,xxxx记录1,☑,□,□,稻小壳1,
2,年 月 日,客户2,xx地址2,xx地址2,138xxxx0001,138xxxx0001,√,,xxx意向2,xxx意向2,11W+,xxxx记录2,xxxx记录2,□,☑,□,稻小壳2,
3,年 月 日,客户3,xx地址3,xx地址3,138xxxx0002,138xxxx0002,√,,xxx意向3,xxx意向3,12W+,xxxx记录3,xxxx记录3,☑,□,□,稻小壳3,
4,年 月 日,客户4,xx地址4,xx地址4,138xxxx0003,138xxxx0003,√,,xxx意向4,xxx意向4,13W+,xxxx记录4,xxxx记录4,□,☑,□,稻小壳4,
5,年 月 日,客户5,xx地址5,xx地址5,138xxxx0004,138xxxx0004,,√,xxx意向5,xxx意向5,14W+,xxxx记录5,xxxx记录5,□,□,☑,稻小壳5,
6,年 月 日,客户6,xx地址6,xx地址6,138xxxx0005,138xxxx0005,,√,xxx意向6,xxx意向6,15W+,xxxx记录6,xxxx记录6,□,☑,□,稻小壳6,
7,年 月 日,客户7,xx地址7,xx地址7,138xxxx0006,138xxxx0006,√,,xxx意向7,xxx意向7,16W+,xxxx记录7,xxxx记录7,☑,□,□,稻小壳7,
8,年 月 日,客户8,xx地址8,xx地址8,138xxxx0007,138xxxx0007,√,,xxx意向8,xxx意向8,17W+,xxxx记录8,xxxx记录8,□,☑,□,稻小壳8,
9,年 月 日,客户9,xx地址9,xx地址9,138xxxx0008,138xxxx0008,√,,xxx意向9,xxx意向9,18W+,xxxx记录9,xxxx记录9,□,☑,□,稻小壳9,
10,年 月 日,客户10,xx地址10,xx地址10,138xxxx0009,138xxxx0009,,,xxx意向10,xxx意向10,19W+,xxxx记录10,xxxx记录10,□,☑,□,稻小壳10,
