编号,姓名,班级,语文,数学,品德,科学,英语,总分,名次
1,学生1,五《1》,90,99,88,90,99,466,1
2,学生2,五《2》,91,97,85,91,97,461,6
3,学生3,五《3》,93,96,87,93,96,465,2
4,学生4,五《4》,85,95,83,85,95,443,11
5,学生5,五《5》,92,95,90,92,95,464,4
6,学生6,五《1》,95,95,85,95,95,465,2
7,学生7,五《2》,91,95,81,91,95,453,8
8,学生8,五《3》,92,95,88,92,95,462,5
9,学生9,五《4》,90,95,85,90,95,455,7
10,学生10,五《5》,89,90,87,89,90,445,10
11,学生11,五《1》,88,90,83,88,90,439,14
12,学生12,五《2》,87,92,90,87,92,448,9
13,学生13,五《3》,86,93,85,86,93,443,11
14,学生14,五《4》,85,93,81,85,93,437,16
15,学生15,五《5》,86,93,81,86,93,439,14
16,学生16,五《1》,87,93,81,87,93,441,13
17,学生17,五《2》,85,93,81,85,93,437,16
