员工工号,员工姓名,部门名称,基本工资,绩效工资,提成,应发工资,考勤扣款,业务扣款,扣款合计,社会保险,公积金,税前工资,个税代缴,实发工资,员工签字,备注
1010101,稻壳1,销售部,8000,1200,500,9700,200,,200,400.0,800.0,8300,69,8231.0,XXX,1.0
1010102,稻壳2,信息部,8000,1300,200,9500,201,100.0,100,400.0,800.0,8200,66,8134.0,XXX,2.0
1010103,稻壳3,财务部,8000,1500,500,10000,202,,0,400.0,800.0,8800,84,8716.0,XXX,3.0
1010104,稻壳4,客服部,8000,1100,700,9800,203,,300,400.0,800.0,8300,69,8231.0,XXX,4.0
1010105,稻壳5,人事部,8000,1200,300,9500,204,200.0,200,400.0,800.0,8100,63,8037.0,XXX,5.0
1010106,稻壳6,销售部,8000,1300,600,9900,205,,0,400.0,800.0,8700,81,8619.0,XXX,6.0
1010107,稻壳7,信息部,8000,1500,2000,11500,206,,100,400.0,800.0,10200,126,10074.0,XXX,7.0
1010108,稻壳8,财务部,8000,1100,100,9200,207,200.0,200,400.0,800.0,7800,54,7746.0,XXX,8.0
1010109,稻壳9,客服部,8000,1200,200,9400,208,,0,,,9400,102,9298.0,XXX,9.0
1010110,稻壳10,人事部,8000,1300,500,9800,209,,0,,,9800,114,9686.0,XXX,10.0
1010111,稻壳11,销售部,8000,1500,700,10200,210,,0,,,10200,126,10074.0,XXX,11.0
1010112,稻壳12,信息部,8000,1100,300,9400,211,,0,,,9400,102,9298.0,XXX,12.0
1010113,稻壳13,财务部,8000,1200,600,9800,212,,0,,,9800,114,9686.0,XXX,13.0
1010114,稻壳14,客服部,8000,1300,500,9800,213,,0,,,9800,114,9686.0,XXX,14.0
1010115,稻壳15,人事部,8000,1500,700,10200,214,,0,,,10200,126,10074.0,XXX,15.0
