序号,订单输号,订单日国,客户,高是名称,单价,鼓量,金额,发货甘雨,订单软态,轻手人,备注,高品名称,所售数量,所售金额
,BH19001,2021-01-07,喜户1,真品名称1,"¥1,138.00",¥11.00,"V12,518.00",2021-01-05,待处理,黄悦著,备注1,商品名称1,11,12518.0
2.0,BH45002,2021-01-08,客户2,高品名称2,"¥3,095.00","¥29,00","¥89,755.00",2021-01-06,已发货,读好,备注2,商品名称2,29,8975500
3.0,BH37003,2021-01-10,客户3,商品名称3,"Y2,449.00",¥18.00,"¥44,082.00",2021-01-07,已燃收,卫交鹏,备注3,商品名称3,18,44.002.00
4.0,BH4004,2021-01-08,高户4,商品名称4,"¥3,404.00",¥43.00,"¥146,372.00",2021-01-11,取清,童芦雅,备注4,商品名称4,43,146.372
5.0,BH31005,2021-01-11,客户5,商品名称S,"¥4,433.00",¥23.00,"¥101,959.00",2021-01-11,待处理,卜 风,备注5,商品名称5,23,101.969
6.0,BH35006,2021-01-12,客户6,商品名称6,"¥1,852.00",¥9.00,"¥16,668.00",2021-01-12,已发货,田饨,备注6,商品名称6,9,16668.0
7.0,BH0007,2021-01-15,客户7,商品名称7,"¥1,512.00",¥34.00,"¥51,408.00",2021-01-12,已签收,史仪锦,备注7,商品名称,34,51.408
6.0,BH21008,2021-01-14,喜户自,商品名称8,"¥1,464.00",¥37.00,"¥54,168.00",2021-01-14,取清,毕澜用,备注8,角品名称8,37,5416800
9.0,BH20009,2021-01-15,喜户9,商品名称9,¥751.00,¥30.00,"¥22,530.00",2021-01-16,待处理,和钧,备注9,商品名称9,30,22.53
10.0,BH130010,2021-01-16,喜户10,商品名称10,"Y2,649.00",Y39.00,"¥103,311.00",2021-01-17,已发货,方晶仪,备注10,高品名称10,39,103.311
