学号,学生姓名,1单元,名次,2单元,名次.1,4单元,名次.2,期中考试,名次.3,6单元,名次.4,8单元,名次.5,期末考试,名次.6,平均分,名次.7,评价
5123001,稻壳1,98,1,97,1,98,1,92,2,99,1,89,4,95,1,95.4,1,合格
5123002,稻壳2,96,2,88,4,80,8,79,9,85,8,96,1,89,4,85.5,7,合格
5123003,稻壳3,75,8,72,9,65,9,85,6,91,6,89,4,93,3,81.6,9,合格
5123004,稻壳4,67,9,85,5,83,7,86,5,95,2,95,2,63,9,85.3,8,合格
5123005,稻壳5,60,10,59,10,48,10,58,10,45,10,61,10,58,10,57.2,10,不合格
5123006,稻壳6,78,7,85,5,90,4,87,4,93,4,79,9,95,1,88.3,4,合格
5123007,稻壳7,94,4,96,2,96,2,93,1,92,5,81,8,89,4,92.2,2,合格
5123008,稻壳8,96,2,89,3,94,3,92,2,85,8,86,6,85,8,90.8,3,合格
5123009,稻壳9,85,6,85,5,88,5,84,7,91,6,91,3,86,7,87.4,5,合格
5123010,稻壳10,87,5,82,8,85,6,80,8,94,3,84,7,87,6,86.3,6,合格
